id,precision,condition,mix_level,cmi,n_words,tts_lang,wer,cer,synth_s,audio_s,rtf,peak_mb,text,heard
EN001,fp16,EN,,0.0,9,en,0.0,0.0,1.98,3.29,0.602,7883.6,"Excuse me, this train is running late this morning.","Excuse me, this train is running late this morning."
HI001,fp16,HI,,0.0,11,hi,0.09090909090909091,0.06818181818181818,4.32,5.61,0.769,7908.6,क्षमा करें यह ट्रेन आज सुबह देर से चल रही है,"शमा करें यह ट्रेन, आज सुबह देर से चल रही है।"
EN002,fp16,EN,,0.0,10,en,0.0,0.0,2.29,3.62,0.632,7886.6,A new experiment was performed in the science class today.,A new experiment was performed in the science class today.
HI002,fp16,HI,,0.0,10,hi,0.0,0.0,3.19,5.38,0.593,7905.5,विज्ञान की कक्षा में आज एक नया प्रयोग किया गया,विज्ञान की कक्षा में आज एक नया प्रयोग किया गया।
EN003,fp16,EN,,0.0,11,en,0.0,0.0,1.76,3.06,0.576,7880.3,She studied all night and took the exam in the morning.,She studied all night and took the exam in the morning.
HI003,fp16,HI,,0.0,10,hi,0.1,0.021739130434782608,3.44,5.65,0.609,7908.1,उसने पूरी रात पढ़ाई की और सुबह जाकर परीक्षा दी,उसने पूरी रात पढ़ाई की और सुबह जाकर परिक्षा दी.
EN004,fp16,EN,,0.0,9,en,0.0,0.0,2.14,3.29,0.652,7883.6,The children started playing cricket on the school ground.,The children started playing cricket on the school ground.
HI004,fp16,HI,,0.0,10,hi,0.0,0.0,3.57,5.89,0.605,7910.6,बच्चों ने स्कूल के मैदान में क्रिकेट खेलना शुरू किया,बच्चों ने स्कूल के मैदान में क्रिकेट खेलना शुरू किया।
EN005,fp16,EN,,0.0,10,en,0.0,0.0,1.95,3.34,0.585,7884.1,I really enjoyed reading this book from start to finish.,I really enjoyed reading this book from start to finish.
HI005,fp16,HI,,0.0,11,hi,0.18181818181818182,0.041666666666666664,5.77,6.26,0.921,7914.6,मुझे यह किताब शुरू से अंत तक पढ़कर बहुत आनंद आया,मुझे यह किताब शुरू से अंट तक पढ़कर बहुत आनंड आया.
EN006,fp16,EN,,0.0,10,en,0.0,0.0,2.1,3.42,0.614,7885.5,The doctor advised the patient to take the medicine daily.,The doctor advised the patient to take the medicine daily.
HI006,fp16,HI,,0.0,10,hi,0.3,0.06976744186046512,3.1,4.64,0.667,7897.3,डॉक्टर ने मरीज़ को रोज़ दवा लेने की सलाह दी,डॉक्टर ने मरीज को रोज दवा लेने की सला दी।
EN007,fp16,EN,,0.0,11,en,0.0,0.0,1.86,3.42,0.543,7885.5,The whole city was glowing with lights on the festival day.,The whole city was glowing with lights on the festival day.
HI007,fp16,HI,,0.0,10,hi,0.1,0.06666666666666667,3.24,5.65,0.573,7908.1,त्योहार के दिन पूरा शहर रोशनी से जगमगा रहा था,तिवहार के दिन पूरा शहर रोशनी से जगमगा रहा था।
EN008,fp16,EN,,0.0,8,en,0.0,0.0,2.52,3.24,0.776,7883.2,The government announced the new education policy yesterday.,The government announced the new education policy yesterday.
HI008,fp16,HI,,0.0,10,hi,0.2,0.07317073170731707,3.06,4.96,0.616,7903.1,सरकार ने नई शिक्षा नीति की घोषणा कल ही की,सरकार ने नई शिक्षा नीती की घोशना कल ही की.
EN009,fp16,EN,,0.0,9,en,0.0,0.0,2.18,3.71,0.587,7887.4,Drinking hot tea feels good during the cold season.,Drinking hot tea feels good during the cold season.
HI009,fp16,HI,,0.0,10,hi,0.0,0.0,3.91,5.1,0.767,7903.4,ठंड के मौसम में गरम चाय पीना अच्छा लगता है,ठंड के मौसम में गरम चाय पीना अच्छा लगता है।
EN010,fp16,EN,,0.0,9,en,0.0,0.0,1.72,2.73,0.629,7878.1,They had sown a wheat crop in their field.,They had sown a wheat crop in their field.
HI010,fp16,HI,,0.0,9,hi,0.8888888888888888,0.7804878048780488,4.42,6.68,0.662,7919.0,उन्होंने अपने खेत में गेहूँ की फसल बोई थी,उन्होंने अपने खेट में गेहिन्यों नो चारिनाओ का सरिसम हिना दिखानी.
EN011,fp16,EN,,0.0,10,en,0.0,0.0,2.21,3.66,0.604,7886.9,This road is very narrow so you should drive slowly.,This road is very narrow so you should drive slowly.
HI011,fp16,HI,,0.0,10,hi,0.1,0.0196078431372549,3.52,6.08,0.579,7912.7,यह रास्ता बहुत संकरा है इसलिए आपको धीरे चलाना चाहिए,"यह रास्ता बहुत संक्रा है, इसलिए आपको धीरे चलाना चाहिए."
EN012,fp16,EN,,0.0,9,en,0.0,0.0,2.37,3.42,0.693,7885.5,The students studied quietly in the library all afternoon.,The students studied quietly in the library all afternoon.
HI012,fp16,HI,,0.0,10,hi,0.4,0.07142857142857142,3.29,5.65,0.583,7908.1,छात्रों ने पुस्तकालय में शांति से पूरी दोपहर अध्ययन किया,चात्रों ने पुस्तकालय में शांती से पूरी दुपहर अध्यान किया.
EN013,fp16,EN,,0.0,10,en,0.0,0.0,1.93,3.2,0.602,7882.9,We went to our grandmother's house during the summer holidays.,We went to our grandmother's house during the summer holidays.
HI013,fp16,HI,,0.0,10,hi,0.0,0.0,3.3,4.86,0.678,7903.1,गर्मियों की छुट्टियों में हम अपनी नानी के घर गए,गर्मियों की छुट्टियों में हम अपनी नानी के घर गए।
EN014,fp16,EN,,0.0,8,en,0.0,0.0,2.03,3.42,0.592,7885.5,Scientists have discovered a new planet in space.,Scientists have discovered a new planet in space.
HI014,fp16,HI,,0.0,10,hi,0.0,0.0,3.42,5.2,0.658,7903.7,वैज्ञानिकों ने अंतरिक्ष में एक नया ग्रह खोज लिया है,वैज्ञानिकों ने अंतरिक्ष में एक नया ग्रह खोज लिया है।
EN015,fp16,EN,,0.0,9,en,0.0,0.0,1.62,2.78,0.58,7878.4,The match was cancelled today because of the rain.,The match was cancelled today because of the rain.
HI015,fp16,HI,,0.0,10,hi,0.1,0.05,2.97,5.2,0.571,7903.6,बारिश के कारण आज का मैच रद्द कर दिया गया,बारिश के कारण आज का मैच रद कर दिया गया।
EN016,fp16,EN,,0.0,9,en,0.0,0.0,2.44,3.24,0.752,7883.2,Her voice was so sweet that everyone was enchanted.,Her voice was so sweet that everyone was enchanted.
HI016,fp16,HI,,0.0,10,hi,0.3,0.06521739130434782,3.48,5.85,0.595,7910.2,उसकी आवाज़ इतनी मधुर थी कि सब मंत्रमुग्ध हो गए,उसकी आवाज इतनी मधुर थी कि सब मंत्र मुग्द हो गए.
